
Tracing route to iitb.ac.in [103.21.127.114]
over a maximum of 30 hops:

  1    32 ms     5 ms     2 ms  192.168.43.1 
  2     *        *        *     Request timed out.
  3    47 ms    54 ms    70 ms  10.72.218.138 
  4    72 ms    58 ms    59 ms  172.25.101.185 
  5    67 ms    59 ms    58 ms  172.25.101.184 
  6    67 ms    53 ms    54 ms  172.17.120.7 
  7    95 ms    52 ms    47 ms  172.17.120.73 
  8    62 ms    74 ms    94 ms  172.26.40.5 
  9    69 ms    80 ms   127 ms  172.16.24.8 
 10    69 ms    58 ms    70 ms  172.16.2.46 
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13    87 ms    72 ms    72 ms  115.110.234.170.static.Mumbai.vsnl.net.in [115.110.234.170] 
 14     *        *        *     Request timed out.
 15     *        *        *     Request timed out.
 16     *        *        *     Request timed out.
 17     *        *        *     Request timed out.
 18     *        *        *     Request timed out.
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21     *        *        *     Request timed out.
 22     *        *        *     Request timed out.
 23     *        *        *     Request timed out.
 24     *        *        *     Request timed out.
 25     *        *        *     Request timed out.
 26     *        *        *     Request timed out.
 27     *        *        *     Request timed out.
 28     *        *        *     Request timed out.
 29     *        *        *     Request timed out.
 30     *        *        *     Request timed out.

Trace complete.
